extracted_text,llm_label,bioportal_prefLabel,ontology_uri,ontology,mapping_backend,mapping_error,chunk,start,end,source_pass,context,source_chunk_path
WM_Astro,AstrocyteSubtype,Views AP internal rotation and AP external rotation,http://purl.bioontology.org/ontology/LNC/LP35196-2,LOINC,local,,chunk_002,12055,12063,llm_masked_pass,"erior (AP 18a) and posterior (AP 34a) sections (G), including (H) white-matter-enriched astrocytes (WM_Astro) localized to the internal capsule with high AQP1 expression Color keys are consistent across panel",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_002.txt
AQP1,Gene,AQP1,http://identifiers.org/hgnc/633,HRA,local,,chunk_002,12109,12113,llm_masked_pass,cluding (H) white-matter-enriched astrocytes (WM_Astro) localized to the internal capsule with high AQP1 expression Color keys are consistent across panels (G-J). Astrocyte cell type key as shown in (D).,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_002.txt
basal ganglia disorders,DiseaseCategory,basal ganglia disorders,http://sbmi.uth.tmc.edu/ontology/ochv#C0004782,OCHV,local,,chunk_002,,,llm_masked_pass_unmapped,,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_002.txt
MERFISH+,SpatialTranscriptomicsTechnique,basal ganglia disease,http://www.ebi.ac.uk/efo/EFO_0009533,EFO,local,,chunk_003,85,93,llm_masked_pass,"Scale bars as indicated. somatic morphology and projection signatures. (A) Images of MERFISH+ transcripts pseudo-colored to indicate subcellular localization: nuclear (white), cytoplasmic (yell",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
transcripts,RNA,"nuclear-transcribed mRNA catabolic process, meiosis-specific transcripts",http://purl.obolibrary.org/obo/GO_0033621,NIFSTD,local,,chunk_003,94,105,llm_pass1,"Scale bars as indicated. somatic morphology and projection signatures. (A) Images of MERFISH+ transcripts pseudo-colored to indicate subcellular localization: nuclear (white), cytoplasmic (yellow), and put",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
DAPI,CHEMICAL,DAPI,http://stirdf.jst.go.jp/id/200907027652952300,IOBC,local,,chunk_003,377,381,llm_pass1,"localization profiles highlight cell-type-specific soma size, shape, and putative neuritic extent. DAPI shown in blue but largely masked by the nuclear transcript signal. (B) Estimated soma means and ran",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
neuronal cell types,CellTypeCategory,Neuronal Cell Body,http://uri.neuinfo.org/nif/nifstd/sao1044911821,NIFSTD,local,,chunk_003,555,574,llm_masked_pass,"timated soma means and ranges of volumes (µm³) inferred from transcript-density segmentation across neuronal cell types in the human basal ganglia, including those shown in (A). (C) Plot of differential gene expression",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
human basal ganglia,BRAIN_STRUCTURE,basal ganglia disease,http://www.ebi.ac.uk/efo/EFO_0009533,EFO,local,,chunk_003,582,601,llm_pass1,"es of volumes (µm³) inferred from transcript-density segmentation across neuronal cell types in the human basal ganglia, including those shown in (A). (C) Plot of differential gene expression between D1 and D2 matrix MS",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
D2 matrix MSNs,NeuronSubtype,D2 Matrix MSN,http://purl.obolibrary.org/obo/CL_4030047,HRA,local,,chunk_003,689,703,llm_masked_pass,"asal ganglia, including those shown in (A). (C) Plot of differential gene expression between D1 and D2 matrix MSNs measured by MERFISH+. Genes are ranked based on differential expressions. Top differential expresse",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
MERFISH,SpatialTranscriptomicsTechnique,Differential gene expression profiling,http://edamontology.org/operation_3223,EDAM,local,,chunk_003,716,723,llm_masked_pass,se shown in (A). (C) Plot of differential gene expression between D1 and D2 matrix MSNs measured by MERFISH+. Genes are ranked based on differential expressions. Top differential expressed genes are annotate,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
Genes,GENE,Differential gene expression profiling,http://edamontology.org/operation_3223,EDAM,local,,chunk_003,726,731,llm_pass1,n (A). (C) Plot of differential gene expression between D1 and D2 matrix MSNs measured by MERFISH+. Genes are ranked based on differential expressions. Top differential expressed genes are annotated. (D) S,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
genes,GENE,HNPCC genes mutations tested for,http://purl.bioontology.org/ontology/LNC/LP228643-5,LOINC,local,,chunk_003,805,810,llm_pass1,easured by MERFISH+. Genes are ranked based on differential expressions. Top differential expressed genes are annotated. (D) Spatial maps of transcripts localized in putative cellular processes for genes e,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
transcripts,RNA,"nuclear-transcribed mRNA catabolic process, meiosis-specific transcripts",http://purl.obolibrary.org/obo/GO_0033621,NIFSTD,local,,chunk_003,846,857,llm_pass1,"ed on differential expressions. Top differential expressed genes are annotated. (D) Spatial maps of transcripts localized in putative cellular processes for genes enriched in D1 matrix MSNs (RELN, EBF1, SLIT2; t",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
genes,GENE,HNPCC genes mutations tested for,http://purl.bioontology.org/ontology/LNC/LP228643-5,LOINC,local,,chunk_003,903,908,llm_pass1,"d genes are annotated. (D) Spatial maps of transcripts localized in putative cellular processes for genes enriched in D1 matrix MSNs (RELN, EBF1, SLIT2; top) and D2 matrix MSNs (DRD2, PENK, CHRM3; bottom).",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
D1 matrix MSNs,NeuronSubtype,D1 Matrix MSN,http://purl.obolibrary.org/obo/CL_4030043,HRA,local,,chunk_003,921,935,llm_masked_pass,"ted. (D) Spatial maps of transcripts localized in putative cellular processes for genes enriched in D1 matrix MSNs (RELN, EBF1, SLIT2; top) and D2 matrix MSNs (DRD2, PENK, CHRM3; bottom). (E) Section-wide correlati",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
RELN,GENE,RELN Gene,http://purl.obolibrary.org/obo/NCIT_C102799,BERO,local,,chunk_003,937,941,llm_pass1,"maps of transcripts localized in putative cellular processes for genes enriched in D1 matrix MSNs (RELN, EBF1, SLIT2; top) and D2 matrix MSNs (DRD2, PENK, CHRM3; bottom). (E) Section-wide correlation map",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
EBF1,GENE,Ebf1 (Yao - within subclass).,http://purl.obolibrary.org/obo/PCL_0143810,PCL,local,,chunk_003,943,947,llm_pass1,"of transcripts localized in putative cellular processes for genes enriched in D1 matrix MSNs (RELN, EBF1, SLIT2; top) and D2 matrix MSNs (DRD2, PENK, CHRM3; bottom). (E) Section-wide correlation maps of D",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
SLIT2,GENE,SLIT2 (human),http://purl.obolibrary.org/obo/HGNC_11086,PR,local,,chunk_003,949,954,llm_pass1,"nscripts localized in putative cellular processes for genes enriched in D1 matrix MSNs (RELN, EBF1, SLIT2; top) and D2 matrix MSNs (DRD2, PENK, CHRM3; bottom). (E) Section-wide correlation maps of D1 matri",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
MSNs,NeuronSubtype,lung volumes and capacities,http://sbmi.uth.tmc.edu/ontology/ochv#22835,OCHV,local,,chunk_003,975,979,llm_masked_pass,"tive cellular processes for genes enriched in D1 matrix MSNs (RELN, EBF1, SLIT2; top) and D2 matrix MSNs (DRD2, PENK, CHRM3; bottom). (E) Section-wide correlation maps of D1 matrix MSN (top) and D2 matrix",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
DRD2,GENE,DRD2 gene c.-585A>G,http://purl.bioontology.org/ontology/LNC/LP417573-5,LOINC,local,,chunk_003,981,985,llm_pass1,"ellular processes for genes enriched in D1 matrix MSNs (RELN, EBF1, SLIT2; top) and D2 matrix MSNs (DRD2, PENK, CHRM3; bottom). (E) Section-wide correlation maps of D1 matrix MSN (top) and D2 matrix MSN (",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
PENK,GENE,PENK Gene Product,http://purl.obolibrary.org/obo/NCIT_C126495,BERO,local,,chunk_003,987,991,llm_pass1,"r processes for genes enriched in D1 matrix MSNs (RELN, EBF1, SLIT2; top) and D2 matrix MSNs (DRD2, PENK, CHRM3; bottom). (E) Section-wide correlation maps of D1 matrix MSN (top) and D2 matrix MSN (bottom",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
CHRM3,GENE,Matrix Metalloproteinases,http://purl.jp/bio/4/id/200906034375883170,IOBC,local,,chunk_003,993,998,llm_pass1,"esses for genes enriched in D1 matrix MSNs (RELN, EBF1, SLIT2; top) and D2 matrix MSNs (DRD2, PENK, CHRM3; bottom). (E) Section-wide correlation maps of D1 matrix MSN (top) and D2 matrix MSN (bottom) gene",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
putative cellular processes,CELLULAR_COMMUNITY,host cellular processes involved in virus induced gene silencing,http://purl.org/obo/owl/GO#GO_0060144,BIOMODELS,local,,chunk_003,1132,1159,llm_pass1,ation maps of D1 matrix MSN (top) and D2 matrix MSN (bottom) gene expression with the expression in putative cellular processes across the entire posterior section (AP34a). Dashed blue outline marks GPe and dashed yellow outlin,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
posterior section,BASAL_GANGLIA_REGION,Cross section average RGB blue,http://purl.obolibrary.org/obo/SP_0000356,SPTO,local,,chunk_003,1178,1195,llm_pass1,x MSN (bottom) gene expression with the expression in putative cellular processes across the entire posterior section (AP34a). Dashed blue outline marks GPe and dashed yellow outline marks GPi. Projection-biased local,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
GPe,BRAIN_REGION,Structure of putamen,http://doe-generated-ontology.com/OntoAD#C0034169,ONTOAD,local,,chunk_003,1231,1234,llm_pass1,putative cellular processes across the entire posterior section (AP34a). Dashed blue outline marks GPe and dashed yellow outline marks GPi. Projection-biased localization reflects direct (D1→GPi) versus,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
GPi,BRAIN_REGION,Putamen,http://www.radlex.org/RID/RID6551,RADLEX,local,,chunk_003,1267,1270,llm_pass1,the entire posterior section (AP34a). Dashed blue outline marks GPe and dashed yellow outline marks GPi. Projection-biased localization reflects direct (D1→GPi) versus indirect (D2→GPe) pathway topology.,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
direct (D1→GPi),BasalGangliaPathway,STR D1 Gaba_7 direct pathway medium spiny neuron (Mmus),http://purl.obolibrary.org/obo/PCL_0113340,PCL,local,,chunk_003,1312,1327,llm_masked_pass,blue outline marks GPe and dashed yellow outline marks GPi. Projection-biased localization reflects direct (D1→GPi) versus indirect (D2→GPe) pathway topology. (F) Gene expression map of SEMA3E transcripts modules of,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
indirect (D2→GPe),BasalGangliaPathway,STR D2 Gaba_6 indirect pathway medium spiny neuron (Mmus),http://purl.obolibrary.org/obo/PCL_0110849,PCL,local,,chunk_003,1335,1352,llm_masked_pass,and dashed yellow outline marks GPi. Projection-biased localization reflects direct (D1→GPi) versus indirect (D2→GPe) pathway topology. (F) Gene expression map of SEMA3E transcripts modules of the human basal ganglia,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
SEMA3E transcripts,RNA,Sema3E bound to Plexin D1 receptor,http://purl.obolibrary.org/obo/HINO_0018294,HINO,local,,chunk_003,1398,1416,llm_pass1,tion reflects direct (D1→GPi) versus indirect (D2→GPe) pathway topology. (F) Gene expression map of SEMA3E transcripts modules of the human basal ganglia (A) Spatial map of major cell types of the posterior section (as,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
human basal ganglia,BRAIN_STRUCTURE,basal ganglia disease,http://www.ebi.ac.uk/efo/EFO_0009533,EFO,local,,chunk_003,1432,1451,llm_pass1,us indirect (D2→GPe) pathway topology. (F) Gene expression map of SEMA3E transcripts modules of the human basal ganglia (A) Spatial map of major cell types of the posterior section (as shown in Figure 2D) and inferred c,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
posterior section,BASAL_GANGLIA_REGION,Cross section average RGB blue,http://purl.obolibrary.org/obo/SP_0000356,SPTO,local,,chunk_003,1495,1512,llm_pass1,of SEMA3E transcripts modules of the human basal ganglia (A) Spatial map of major cell types of the posterior section (as shown in Figure 2D) and inferred cellular community modules derived from the local neighborhood,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
Allen Human Brain Atlas,NeuroanatomicalResource,Allen Brain Atlas Adult Mouse Ontology,http://mouse.brain-map.org/atlas/index.html#ABAMouse,ASDF,local,,chunk_003,1952,1975,llm_masked_pass,"34a), capturing mesoscale organization. Bottom: Corresponding anatomical reference images from the Allen Human Brain Atlas 59. Pu, putamen; Ca, caudate; NAc, nucleus accumbens; GP, globus pallidus. Color keys are consisten",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
Pu,BRAIN_REGION,Pu (fruit fly),http://purl.obolibrary.org/obo/FlyBase_FBgn0003162,PR,local,,chunk_003,1980,1982,llm_pass1,"rganization. Bottom: Corresponding anatomical reference images from the Allen Human Brain Atlas 59. Pu, putamen; Ca, caudate; NAc, nucleus accumbens; GP, globus pallidus. Color keys are consistent acros",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
putamen,BrainRegion,Putamen or Globus Pallidus,http://purl.obolibrary.org/obo/NCIT_C182245,BERO,local,,chunk_003,1984,1991,llm_masked_pass,"ization. Bottom: Corresponding anatomical reference images from the Allen Human Brain Atlas 59. Pu, putamen; Ca, caudate; NAc, nucleus accumbens; GP, globus pallidus. Color keys are consistent across panels",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
Ca,BRAIN_REGION,globus pallidus degeneration,http://purl.obolibrary.org/obo/UPHENO_0074034,UPHENO,local,,chunk_003,1993,1995,llm_pass1,"Bottom: Corresponding anatomical reference images from the Allen Human Brain Atlas 59. Pu, putamen; Ca, caudate; NAc, nucleus accumbens; GP, globus pallidus. Color keys are consistent across panels in (",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
caudate,BrainRegion,Fusion of the caudate and putamen,http://purl.obolibrary.org/obo/HP_0034180,UPHENO,local,,chunk_003,1997,2004,llm_masked_pass,"om: Corresponding anatomical reference images from the Allen Human Brain Atlas 59. Pu, putamen; Ca, caudate; NAc, nucleus accumbens; GP, globus pallidus. Color keys are consistent across panels in (B). (C) H",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
NAc,BRAIN_REGION,Abnormal globus pallidus morphology,http://purl.obolibrary.org/obo/HP_0002453,UPHENO,local,,chunk_003,2006,2009,llm_pass1,"sponding anatomical reference images from the Allen Human Brain Atlas 59. Pu, putamen; Ca, caudate; NAc, nucleus accumbens; GP, globus pallidus. Color keys are consistent across panels in (B). (C) Heatma",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
nucleus accumbens,BrainRegion,nucleus accumbens septi,http://purl.jp/bio/4/id/200906026769438853,IOBC,local,,chunk_003,2011,2028,llm_masked_pass,"ing anatomical reference images from the Allen Human Brain Atlas 59. Pu, putamen; Ca, caudate; NAc, nucleus accumbens; GP, globus pallidus. Color keys are consistent across panels in (B). (C) Heatmap showing cell-type",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
GP,BRAIN_REGION,Registered GP,http://purl.bioontology.org/ontology/RCTV2/9bE7.00,RCTV2,local,,chunk_003,2030,2032,llm_pass1,"rence images from the Allen Human Brain Atlas 59. Pu, putamen; Ca, caudate; NAc, nucleus accumbens; GP, globus pallidus. Color keys are consistent across panels in (B). (C) Heatmap showing cell-type enr",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
globus pallidus,BrainRegion,Putamen or Globus Pallidus,http://purl.obolibrary.org/obo/NCIT_C182245,BERO,local,,chunk_003,2034,2049,llm_masked_pass,"e images from the Allen Human Brain Atlas 59. Pu, putamen; Ca, caudate; NAc, nucleus accumbens; GP, globus pallidus. Color keys are consistent across panels in (B). (C) Heatmap showing cell-type enrichment scores fo",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
fast-spiking interneurons,NeuronSubtype,Commissural Interneurons,http://purl.jp/bio/4/id/201506074924587030,IOBC,local,,chunk_003,2241,2266,llm_masked_pass,"cores for each community module (rows = cell types; columns = modules). (D) Spatial distribution of fast-spiking interneurons (STR FS PTHLH-PVALB) across A-P levels, highlighting preferential enrichment in caudate. Right: odd",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
STR FS PTHLH-PVALB,NeuronSubtype,PTHLH-PVALB,http://purl.obolibrary.org/obo/CL_4042023,HRA,local,,chunk_003,2268,2286,llm_masked_pass,"dule (rows = cell types; columns = modules). (D) Spatial distribution of fast-spiking interneurons (STR FS PTHLH-PVALB) across A-P levels, highlighting preferential enrichment in caudate. Right: odds-ratio plot quantif",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
caudate,BRAIN_REGION,Fusion of the caudate and putamen,http://purl.obolibrary.org/obo/HP_0034180,UPHENO,local,,chunk_003,2347,2354,llm_pass1,"piking interneurons (STR FS PTHLH-PVALB) across A-P levels, highlighting preferential enrichment in caudate. Right: odds-ratio plot quantifying caudate > putamen representation (* p = 0.021; Wilcoxon rank-su",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
cholinergic interneurons,NeuronSubtype,Cholinergic neuron,http://purl.jp/bio/4/id/200906094084757102,IOBC,local,,chunk_003,2486,2510,llm_masked_pass,"ying caudate > putamen representation (* p = 0.021; Wilcoxon rank-sum). (E) Spatial distribution of cholinergic interneurons (STRd ChAT+) across the A-P axis, showing relative enrichment in putamen compared to caudate. Right",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
STRd ChAT+,NeuronSubtype,CHAT Gene,http://purl.obolibrary.org/obo/NCIT_C104885,BERO,local,,chunk_003,2512,2522,llm_masked_pass,"resentation (* p = 0.021; Wilcoxon rank-sum). (E) Spatial distribution of cholinergic interneurons (STRd ChAT+) across the A-P axis, showing relative enrichment in putamen compared to caudate. Right: odds-ratio",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
putamen,BRAIN_REGION,Putamen or Globus Pallidus,http://purl.obolibrary.org/obo/NCIT_C182245,BERO,local,,chunk_003,2576,2583,llm_pass1,"bution of cholinergic interneurons (STRd ChAT+) across the A-P axis, showing relative enrichment in putamen compared to caudate. Right: odds-ratio plot quantifying putamen > caudate representation (* p = 0.0",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
human basal ganglia,BRAIN_STRUCTURE,basal ganglia disease,http://www.ebi.ac.uk/efo/EFO_0009533,EFO,local,,chunk_003,2800,2819,llm_pass1,"-sum). (F) organization, gene-expression spatial gradients, and cross-species correspondence in the human basal ganglia. (A) UMAP computed based on cellular community analysis restricted to MSN cell types. Leiden cluste",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
MSN cell types,NeuronSubtypeCategory,MSN Gene,http://purl.obolibrary.org/obo/NCIT_C97621,BERO,local,,chunk_003,2890,2904,llm_masked_pass,ce in the human basal ganglia. (A) UMAP computed based on cellular community analysis restricted to MSN cell types. Leiden clustering defines the matrix (purple) and striosome (blue) (left). Different types of MSNs,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
striosome,StriatalCompartment,D2 Striosome MSN,http://purl.obolibrary.org/obo/CL_4030049,HRA,local,,chunk_003,2956,2965,llm_masked_pass,community analysis restricted to MSN cell types. Leiden clustering defines the matrix (purple) and striosome (blue) (left). Different types of MSNs are colored as indicated (right). (B) Spatial maps of strios,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
matrix compartments,StriatalCompartment,"Matrix Metalloproteinases, Secreted",http://purl.bioontology.org/ontology/MESH/D053505,MESH,local,,chunk_003,3073,3092,llm_masked_pass,"(left). Different types of MSNs are colored as indicated (right). (B) Spatial maps of striosome and matrix compartments (defined in A) across anterior-posterior (A-P) sections (AP 18a, 19a, 26a, 34a). (C) Cell-type enri",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
striosome versus matrix compartments,StriatalCompartmentComparison,Graft versus host disease,http://www.orpha.net/ORDO/Orphanet_39812,HOOM_V3,local,,chunk_003,3217,3253,llm_masked_pass,"terior-posterior (A-P) sections (AP 18a, 19a, 26a, 34a). (C) Cell-type enrichment (odds ratios) for striosome versus matrix compartments. Dot size reflects statistical significance (-log₁₀ FDR). P-values are derived using right-tailed c",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
interneuron subtypes,NeuronSubtypeCategory,GABAergic interneuron,http://purl.obolibrary.org/obo/CL_0011005,PCL,local,,chunk_003,3595,3615,llm_masked_pass,odds ratio values associated with the striosome are multiplied by -1. (D) Spatial distributions of interneuron subtypes showing compartmental biases: STR TAC3 GABAergic interneurons enriched in matrix and VIP+ GABAergic,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
STR TAC3 GABAergic interneurons,NeuronSubtype,Inh L3-5 VIP TAC3 primary motor cortex GABAergic interneuron (Hsap),http://purl.obolibrary.org/obo/PCL_0015039,PCL,local,,chunk_003,3646,3677,llm_masked_pass,e multiplied by -1. (D) Spatial distributions of interneuron subtypes showing compartmental biases: STR TAC3 GABAergic interneurons enriched in matrix and VIP+ GABAergic interneurons enriched the 60 transcriptomics cell types ident,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
VIP+ GABAergic interneurons,NeuronSubtype,"L5/6 cck, VIP GABAergic interneuron (Mmus)",http://purl.obolibrary.org/obo/CL_4023019,PCL,local,,chunk_003,3701,3728,llm_masked_pass,euron subtypes showing compartmental biases: STR TAC3 GABAergic interneurons enriched in matrix and VIP+ GABAergic interneurons enriched the 60 transcriptomics cell types identified by MERFISH+. The dot-plot shows 150 different,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
transcriptomics cell types,CellTypeCategory,Mast cell expressed membrane protein 1,http://www.semanticweb.org/ontologies/STO.owl#OWLClass_a9e3575d_5510_40f0_8def_7b4dc7123f71,STO-DRAFT,local,,chunk_003,3745,3771,llm_masked_pass,STR TAC3 GABAergic interneurons enriched in matrix and VIP+ GABAergic interneurons enriched the 60 transcriptomics cell types identified by MERFISH+. The dot-plot shows 150 differential expressed genes out of the 673 MERFISH+,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
pallidus-associated neuronal subtypes,NeuronSubtypeCategory,Microbiology subtypes,http://purl.bioontology.org/ontology/RCD/Xa0Bn,RCD,local,,chunk_003,3957,3994,llm_masked_pass,"e 673 MERFISH+ imaged genes, thus validating the distinction between 60 transcriptomics cell types. pallidus-associated neuronal subtypes across anterior-posterior coronal sections of the human basal ganglia. (A) Relative proportions of",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
human basal ganglia,BRAIN_STRUCTURE,basal ganglia disease,http://www.ebi.ac.uk/efo/EFO_0009533,EFO,local,,chunk_003,4045,4064,llm_pass1,cell types. pallidus-associated neuronal subtypes across anterior-posterior coronal sections of the human basal ganglia. (A) Relative proportions of all neuronal cell types including non-MSN and globus pallidus (GP) neu,/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
non-MSN,NeuronSubtypeCategory,Globus pallidus principal cell,http://ontology.neuinfo.org/NIF/BiomaterialEntities/NIF-Cell.owl#nifext_149,NIFCELL,local,,chunk_003,4128,4135,llm_masked_pass,"sections of the human basal ganglia. (A) Relative proportions of all neuronal cell types including non-MSN and globus pallidus (GP) neuron subtypes-as well as CGEand MGE-derived GABAergic neuron subclasses,",/Users/pujatrivedi/Desktop/MIT/blended_ner_framework/data/papers/multiscale_spatial_transcriptomic/20260602T192339/chunks/chunk_003.txt
